[765,432,987,543,654,321,765,987,432,543,987,654,432,765,321,987,543,432,765,321]
[987,432,543,765,987,321,654,432,765,987,543,432,876,987,543,765,432,321,765,987]
[432,654,987,543,876,765,432,987,543,876,321,987,765,432,654,987,321,543,765,876]
[543,987,321,432,654,987,765,543,432,987,321,876,765,432,987,654,543,765,987,321]
[765,432,987,543,654,321,876,987,432,765,543,987,432,765,654,987,543,321,765,432]
[987,543,765,432,321,654,987,765,432,987,543,321,765,432,987,876,543,432,321,654]
[432,876,543,987,765,432,654,321,987,765,543,432,876,987,543,765,432,654,987,123]
[654,987,321,432,765,987,876,543,432,987,765,321,654,876,987,543,432,765,987,123]
[987,543,765,432,321,654,987,765,432,987,543,321,765,432,987,876,543,432,321,654]
[765,432,987,543,654,321,765,987,432,543,987,654,432,765,321,987,543,432,765,321]
